user_id,username,activity_type,timestamp,source_ip,user_agent,device_info,is_suspicious,confidence_score,success,application_name,version,session_duration_minutes,memory_usage_mb,cpu_usage_percent,files_opened,file_count,total_size,destination,transfer_speed_mbps,encryption_used,transfer_method,database_name,query_type,rows_affected,execution_time_ms,tables_accessed,sensitive_data_accessed,recipient_count,external_recipients,attachment_count,total_attachment_size,subject_classification,sender_reputation,destination_ip,destination_domain,protocol,port,bytes_transferred,duration_seconds,connection_status,file_path,file_size,action,permission_level,command,arguments,exit_code,privilege_level,output_size_bytes,anomaly_type,risk_factors,location,login_attempts,department,service,flag,src_bytes,dst_bytes,network_bytes,num_failed_logins,logged_in,count,srv_count,serror_rate,rerror_rate,same_srv_rate,diff_srv_rate,dst_host_count,dst_host_srv_count,attack_type,hour,day_of_week,is_weekend,is_business_hours,root_shell,num_file_creations,num_shells,num_access_files
user_024,xfisher,file_access,2025-10-14 11:02:51.454356,112.236.36.66,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:121.0) Gecko/20100101 Firefox/121.0,MacBook_1760,False,0.1304269464529409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/finance/reports/Q1_2024.xlsx,2624114.0,write,read,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
user_031,nataliesharp,file_access,2025-09-26 11:42:51.454356,192.168.1.170,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",Linux-Workstation_1812,False,0.1746838449934915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/documents/policies/carry.pdf,1886133.0,read,read,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
user_013,lucas63,file_access,2025-09-26 15:55:51.454356,192.168.1.151,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:121.0) Gecko/20100101 Firefox/121.0,Windows-Laptop_3795,False,0.29600993979368695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/files/once.json,894369.0,write,read,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
user_048,ddillon,file_upload,2025-10-20 20:12:51.454356,192.168.1.52,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.0 Safari/605.1.15",Windows-Laptop_4438,False,0.18672466380584013,,,,,,,,4.0,73280107.0,external_server,61.849351095435104,True,web_upload,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
user_010,anthony00,email_sent,2025-10-03 18:19:51.454356,192.168.1.71,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.0 Safari/605.1.15",MacBook_9837,False,0.13507115196576516,,,,,,,,,,,,,,,,,,,,15.0,4.0,0.0,7583778.0,marketing,0.9111996678006095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
user_021,llong,network_access,2025-10-13 11:14:51.454356,192.168.1.244,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36",MacBook_9788,False,0.15376555252681834,,,,,,,,,,,,,,,,,,,,,,,,,,201.191.51.74,workday.com,SSH,995.0,7851310.0,55.0,timeout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
user_001,veronicawhitehead,file_download,2025-10-08 08:14:51.454356,192.168.1.247,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36 Edg/120.0.0.0",Linux-Workstation_9058,False,0.15901270805770934,,,,,,,,2.0,16670285.0,external_server,17.499381658959095,True,sftp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
user_046,kellybrian,email_sent,2025-10-01 08:14:51.454356,192.168.1.32,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.0 Safari/605.1.15",Windows-Laptop_5482,False,0.15213787158493325,,,,,,,,,,,,,,,,,,,,17.0,2.0,2.0,12953846.0,business,0.8808428318770665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
user_006,user42,network_access,2025-09-25 16:25:54.767702,192.168.1.135,,,False,0.18039946806217538,,,,,,,,,,,,,,,,,,,False,,,,,,,10.0.193.24,,tcp,,9931.0,0.0,,,221.0,,,,,,,,,,,,Finance,http,SF,221.0,9710.0,9710.0,0.0,True,3.0,4.0,0.0,0.0,1.0,0.0,6.0,255.0,normal,23.0,4.0,False,True,False,0.0,0.0,0.0
user_037,raymond24,application_launch,2025-09-25 14:44:51.454356,192.168.1.177,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:121.0) Gecko/20100101 Firefox/121.0,Linux-Workstation_8097,False,0.22943688908091808,,QuickBooks,11.0.7,290.0,216.0,59.39545216840416,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
